0.45,0.05,0.127035,-0.0189082
0.45,0.1,0.0502689,-0.0276199
0.45,0.15,0.0056566,-0.0302582
0.45,0.2,-0.0185612,-0.0294641
0.45,0.25,-0.0301406,-0.0268959
0.45,0.3,-0.0341387,-0.0235668
0.45,0.35,-0.0338054,-0.0200724
0.45,0.4,-0.0311903,-0.0167421
0.45,0.45,-0.0275543,-0.013739
0.45,0.5,-0.0236461,-0.0111257
0.45,0.55,-0.0198876,-0.00890626
0.45,0.6,-0.0164961,-0.00705297
0.45,0.65,-0.0135651,-0.00552279
0.45,0.7,-0.0111164,-0.00426716
0.45,0.75,-0.0091336,-0.00323747
0.45,0.8,-0.00758273,-0.00238781
0.45,0.85,-0.00642543,-0.00167604
0.45,0.9,-0.00562658,-0.00106385
0.45,0.95,-0.00515879,-0.000516107
0.45,1,-0.00500482,0.00E+00
0.5,0,0.266667,0
0.5,0.05,0.133572,-1.50E-17
0.5,0.1,0.0528559,-2.19E-17
0.5,0.15,0.0059477,-2.40E-17
0.5,0.2,-0.0195164,-2.34E-17
0.5,0.25,-0.0316917,-2.13E-17
0.5,0.3,-0.0358955,-1.87E-17
0.5,0.35,-0.0355451,-1.59E-17
0.5,0.4,-0.0327954,-1.33E-17
0.5,0.45,-0.0289723,-1.09E-17
0.5,0.5,-0.024863,-8.82E-18
0.5,0.55,-0.020911,-7.06E-18
0.5,0.6,-0.017345,-5.59E-18
0.5,0.65,-0.0142632,-4.38E-18
0.5,0.7,-0.0116885,-3.38E-18
0.5,0.75,-0.00960364,-2.57E-18
0.5,0.8,-0.00797295,-1.89E-18
0.5,0.85,-0.00675609,-1.33E-18
0.5,0.9,-0.00591614,-8.43E-19
0.5,0.95,-0.00542428,-4.09E-19
0.5,1,-0.00526238,0.00E+00
0.55,0,0.253615,0
0.55,0.05,0.127035,0.0189082
0.55,0.1,0.0502689,0.0276199
0.55,0.15,0.0056566,0.0302582
0.55,0.2,-0.0185612,0.0294641
0.55,0.25,-0.0301406,0.0268959
0.55,0.3,-0.0341387,0.0235668
0.55,0.35,-0.0338054,0.0200724
0.55,0.4,-0.0311903,0.0167421
0.55,0.45,-0.0275543,0.013739
0.55,0.5,-0.0236461,0.0111257
0.55,0.55,-0.0198876,0.00890626
0.55,0.6,-0.0164961,0.00705297
0.55,0.65,-0.0135651,0.00552279
0.55,0.7,-0.0111164,0.00426716
0.55,0.75,-0.0091336,0.00323747
0.55,0.8,-0.00758273,0.00238781
0.55,0.85,-0.00642543,0.00167604
0.55,0.9,-0.00562658,0.00106385
0.55,0.95,-0.00515879,0.000516107
0.55,1,-0.00500482,0.00E+00
0.6,0,0.215738,0
0.6,0.05,0.108062,0.0359655
0.6,0.1,0.0427613,0.0525361
0.6,0.15,0.00481179,0.0575545
0.6,0.2,-0.0157891,0.0560441
0.6,0.25,-0.0256391,0.051159
0.6,0.3,-0.0290401,0.0448267
0.6,0.35,-0.0287566,0.03818
0.6,0.4,-0.026532,0.0318454
0.6,0.45,-0.0234391,0.0261331
0.6,0.5,-0.0201146,0.0211623
0.6,0.55,-0.0169174,0.0169407
0.6,0.6,-0.0140324,0.0134155
0.6,0.65,-0.0115391,0.010505
0.6,0.7,-0.00945619,0.00811662
0.6,0.75,-0.00776951,0.00615803
0.6,0.8,-0.00645025,0.00454188
0.6,0.85,-0.00546579,0.00318802
0.6,0.9,-0.00478626,0.00202356
0.6,0.95,-0.00438833,0.000981694
0.6,1,-0.00425735,0.00E+00
0.65,0,0.156743,0
0.65,0.05,0.0785119,0.0495023
0.65,0.1,0.0310679,0.0723097
0.65,0.15,0.00349597,0.079217
0.65,0.2,-0.0114714,0.0771381
0.65,0.25,-0.0186279,0.0704144
0.65,0.3,-0.0210989,0.0616987
0.65,0.35,-0.0208929,0.0525503
0.65,0.4,-0.0192767,0.0438314
0.65,0.45,-0.0170295,0.0359692
0.65,0.5,-0.0146141,0.0291275
0.65,0.55,-0.0122912,0.0233169
0.65,0.6,-0.0101951,0.0184649
0.65,0.65,-0.00838367,0.0144588
0.65,0.7,-0.00687033,0.0111716
0.65,0.75,-0.00564488,0.0084758
0.65,0.8,-0.00468638,0.00625136
